1 input_1.asc: UAV Cruise and satellite targeting Mar 14 2025 13:55:26
  0  0 50
time            mach_c1         lonx_c1         latx_c1         alt_c1          
dvbe_c1         psivgx_c1       thtvgx_c1       SBEG1_c1        SBEG2_c1        
SBEG3_c1        VBEG1_c1        VBEG2_c1        VBEG3_c1        SBII1_c1        
SBII2_c1        SBII3_c1        thrust_c1       mach_t1         lonx_t1         
latx_t1         alt_t1          dvbe_t1         psivgx_t1       thtvgx_t1       
SBEG1_t1        SBEG2_t1        SBEG3_t1        VBEG1_t1        VBEG2_t1        
VBEG3_t1        SBII1_t1        SBII2_t1        SBII3_t1        mach_s1         
lonx_s1         latx_s1         alt_s1          dvbe_s1         psivgx_s1       
thtvgx_s1       SBEG1_s1        SBEG2_s1        SBEG3_s1        VBEG1_s1        
VBEG2_s1        VBEG3_s1        SBII1_s1        SBII2_s1        SBII3_s1        
1.32718e+06     3.69465e+06     1676.27         0.0294187       15.4013         
35.3009         100.01          9.99972         45.0024         0.00461622      
99.3421         99.3493         -0.00975603     7.07058         7.07116         
-0.00080566     5.01149e+06     1.38602e+06     3.68166e+06     26.1339         
10.742          30.6355         500092          7699.75         45.4348         
0.0958219       76207.7         76785.3         -91.9414        5403.06         
5485.7          -12.8771        5.80733e+06     1.10786e+06     3.50133e+06     
14.5            0.670272        14.733          35.4            7000.82         
209.343         89.9344         -0.0281145      5.06344         2973.97         
-0.824717       0.239793        209.343         0.102723        5.02654e+06     
1.32747e+06     3.69465e+06     1676.26         0.0294187       15.4013         
35.3009         100.01          9.99972         45.0024         0.00466118      
102.877         102.885         -0.0101608      7.07057         7.07117         
-0.000813506    5.01144e+06     1.38621e+06     3.68167e+06     26.1339         
10.7685         30.658          500098          7699.74         45.4506         
0.0991758       78908.9         79528.5         -98.4926        5401.55         
5487.17         -13.3278        5.80543e+06     1.1105e+06      3.50365e+06     
15              0.671461        14.7341         35.4            7000.74         
209.714         89.9366         -0.058215       5.18138         3078.74         
-0.741907       0.231981        209.714         0.213079        5.02647e+06     
1.32775e+06     3.69465e+06     1676.25         0.0294187       15.4014         
35.301          100.011         9.99972         45.0024         0.00470613      
106.413         106.42          -0.0105695      7.07057         7.07117         
-0.000821352    5.01139e+06     1.38639e+06     3.68167e+06     26.1338         
10.7951         30.6805         500105          7699.72         45.4663         
0.10253         81609.3         82272.5         -105.269        5400.03         
5488.65         -13.7785        5.80353e+06     1.11315e+06     3.50598e+06     
15.5            0.672616        14.7353         35.4            7000.63         
210.074         89.9389         -0.061305       5.29543         3183.68         
-0.628405       0.224198        210.073         0.224773        5.02639e+06     
1.32803e+06     3.69465e+06     1676.24         0.0294187       15.4014         
35.301          100.011         9.99972         45.0024         0.00475109      
109.948         109.956         -0.0109822      7.07057         7.07117         
-0.000829198    5.01133e+06     1.38658e+06     3.68167e+06     26.1338         
10.8218         30.703          500112          7699.71         45.482          
0.105884        84308.9         85017.1         -112.271        5398.51         
5490.12         -14.2292        5.80162e+06     1.1158e+06      3.5083e+06      
16              0.673732        14.7365         35.4            7000.53         
210.422         89.9411         -0.0416743      5.40557         3288.81         
-0.531264       0.21633         210.421         0.153051        5.02631e+06     
1.32832e+06     3.69465e+06     1676.23         0.0294187       15.4015         
35.301          100.011         9.99972         45.0025         0.00479605      
113.483         113.492         -0.0113987      7.07056         7.07117         
-0.000837044    5.01128e+06     1.38677e+06     3.68167e+06     26.1338         
10.8484         30.7255         500119          7699.7          45.4978         
0.109238        87007.8         87762.6         -119.498        5396.99         
5491.6          -14.6799        5.79971e+06     1.11845e+06     3.51063e+06     
16.5            0.674823        14.7376         35.4            7000.48         
210.762         89.9434         -0.0111476      5.51174         3394.1          
-0.482141       0.208332        210.762         0.0410065       5.02624e+06     
1.3286e+06      3.69465e+06     1676.22         0.0294187       15.4015         
35.3011         100.012         9.99972         45.0025         0.004841        
117.019         117.027         -0.0118192      7.07056         7.07118         
-0.000844891    5.01122e+06     1.38695e+06     3.68168e+06     26.1337         
10.875          30.748          500127          7699.68         45.5136         
0.112591        89705.9         90508.7         -126.951        5395.46         
5493.07         -15.1306        5.7978e+06      1.1211e+06      3.51295e+06     
17              0.67591         14.7388         35.4001         7000.49         
211.101         89.9457         0.0168269       5.61388         3499.57         
-0.488664       0.200231        211.101         -0.0619974      5.02616e+06     
1.32889e+06     3.69465e+06     1676.21         0.0294187       15.4015         
35.3011         100.012         9.99972         45.0025         0.00488596      
120.554         120.563         -0.0122436      7.07056         7.07118         
-0.000852737    5.01117e+06     1.38714e+06     3.68168e+06     26.1337         
10.9017         30.7705         500135          7699.67         45.5294         
0.115945        92403.2         93255.7         -134.629        5393.94         
5494.55         -15.5812        5.79589e+06     1.12374e+06     3.51527e+06     
17.5            0.677009        14.7399         35.4001         7000.54         
211.445         89.9479         0.0324798       5.71196         3605.21         
-0.536439       0.192096        211.445         -0.119864       5.02609e+06     
1.32918e+06     3.69465e+06     1676.2          0.0294187       15.4016         
35.3011         100.013         9.99972         45.0025         0.00493092      
124.089         124.098         -0.012672       7.07056         7.07118         
-0.000860583    5.01112e+06     1.38732e+06     3.68168e+06     26.1336         
10.9284         30.793          500143          7699.66         45.5452         
0.119299        95099.8         96003.3         -142.532        5392.41         
5496.03         -16.0319        5.79398e+06     1.12639e+06     3.51759e+06     
18              0.678132        14.7411         35.4001         7000.6          
211.796         89.9502         0.0325736       5.80598         3711.02         
-0.598792       0.184007        211.796         -0.12041        5.02601e+06     
1.32946e+06     3.69465e+06     1676.19         0.0294187       15.4016         
35.3011         100.013         9.99972         45.0026         0.00497587      
127.624         127.634         -0.0131042      7.07055         7.07118         
