1 input_1.asc: UAV Cruise and satellite targeting ' UAV ' Nov  2 2023 17:15:34
  0  0 48
time            FSPV1           FSPV2           FSPV3           pdynmc          
mach            lonx            latx            alt             dvbe            
psivgx          thtvgx          SBEG1           SBEG2           SBEG3           
VBEG1           VBEG2           VBEG3           mprop           cg              
thrust          cl_ov_cd        psivgcx         thtvgcx         anx             
avx             alphax          phimvx          phicx           phix            
qq              tip             alp             ancomx          alcomx          
alx             altd            altcom          wp_grdrange     wp_flag         
range_go        STBG1           STBG2           STBG3           time_go         
psisbx          thtsbx          mtargeting      
0               0               0               0               0               
0               0               0               
10.6            0.675142        -0.0220094      -9.92469        12586.7         
0.661786        14.724          35.4            7000.71         206.692         
89.9154         -0.182257       4.00083         2162.89         -0.710301       
0.305016        206.691         0.657482        6               133.684         
1676.33         9.81979         90              0               1.00018         
0               6.02804         -0.126088       -0.117358       -0.126088       
0.0511423       2.68196         0.105209        1.04536         -0.00102536     
-0.00224627     -0.657482       7000            15948.1         0               
0               0               0               0               0               
0               0               0               
10.8            0.647888        -0.0217559      -10.115         12604           
0.662233        14.7245         35.4            7000.58         206.83          
89.9164         -0.166834       4.06153         2204.24         -0.583733       
0.301948        206.829         0.602247        6               133.684         
1676.33         9.74401         90              0               1.01939         
0               6.15345         -0.122319       -0.11419        -0.122319       
0.0495434       2.67981         0.107398        1.04359         -0.00101681     
-0.0022204      -0.602247       7000            15906.8         0               
0               0               0               0               0               
0               0               0               
11              0.626           -0.0214498      -10.2648        12620.5         
0.662661        14.725          35.4            7000.47         206.963         
89.9173         -0.141966       4.1216          2245.62         -0.471758       
0.29881         206.962         0.512807        6               133.684         
1676.32         9.68313         90              0               1.03452         
0               6.24745         -0.118924       -0.111866       -0.118924       
0.0472883       2.67776         0.109039        1.03789         -0.00101089     
-0.00218916     -0.512807       7000            15865.5         0               
0               0               0               0               0               
0               0               0               
11.2            0.610794        -0.0211233      -10.3679        12636.4         
0.663074        14.7254         35.4            7000.38         207.091         
